resource,endpoint,predicate,count,provider
http://id.loc.gov/vocabulary/geographicAreas,data.szepmuveszeti.hu,madsrdf:hasExactExternalAuthority,761,LOC
http://id.loc.gov/vocabulary/languages,data.szepmuveszeti.hu,rdfs:comment,3,LOC
http://id.loc.gov/vocabulary/geographicAreas,data.szepmuveszeti.hu,madsrdf:isTopMemberOfMADSScheme,252,LOC
http://id.loc.gov/vocabulary/languages,data.hnm.hu,madsrdf:deprecatedLabel,31,LOC
http://id.loc.gov/vocabulary/languages,data.szepmuveszeti.hu,madsrdf:historyNote,4,LOC
http://id.loc.gov/vocabulary/geographicAreas,data.szepmuveszeti.hu,madsrdf:historyNote,54,LOC
http://id.loc.gov/vocabulary/countries,data.hnm.hu,madsrdf:authoritativeLabel,332,LOC
http://id.loc.gov/vocabulary/languages,data.hnm.hu,rdfs:comment,3,LOC
http://id.loc.gov/authorities,digitale.bncf.firenze.sbn.it,skos:closeMatch,12562,LOC
http://id.loc.gov/vocabulary/countries,data.szepmuveszeti.hu,madsrdf:isMemberOfMADSCollection,740,LOC
http://id.loc.gov/vocabulary/countries,data.hnm.hu,madsrdf:hasMADSCollectionMember,740,LOC
http://id.loc.gov/vocabulary,lod.xdams.org,owl:Class,1,LOC
http://id.loc.gov/vocabulary/languages,bnb.data.bl.uk,skos:prefLabel,66,LOC
http://id.loc.gov/vocabulary/languages,data.szepmuveszeti.hu,owl:sameAs,515,LOC
http://id.loc.gov/vocabulary/iso639-1,vocabulary.semantic-web.at,adms:metadataLanguage,3,LOC
http://id.loc.gov/vocabulary/geographicAreas,data.hnm.hu,owl:sameAs,534,LOC
http://id.loc.gov/vocabulary/languages,data.hnm.hu,madsrdf:code,515,LOC
http://id.loc.gov/vocabulary/geographicAreas,data.hnm.hu,rdfs:label,4,LOC
http://id.loc.gov/vocabulary/countries,data.hnm.hu,rdf:type,1739,LOC
http://id.loc.gov/vocabulary/countries,aliada.scanbit.net:8891,madsrdf:hasVariant,537,LOC
http://id.loc.gov/authorities,data.archiveshub.ac.uk,skos:broader,104,LOC
http://id.loc.gov/vocabulary/countries,bnb.data.bl.uk,skos:notation,53,LOC
http://id.loc.gov/authorities,202.45.139.84:10035,skos:broadMatch,4,LOC
http://id.loc.gov/vocabulary/languages,data.szepmuveszeti.hu,madsrdf:hasTopMemberOfMADSScheme,968,LOC
http://id.loc.gov/ontologies/lcc,lod.openlinksw.com,rdf:type,7,LOC
http://id.loc.gov/vocabulary/iso639-2,lod.b3kat.de,dcterms:language,22426,LOC
http://id.loc.gov/vocabulary/geographicAreas,aliada.scanbit.net:8891,madsrdf:scopeNote,22,LOC
http://id.loc.gov/vocabulary/countries,data.szepmuveszeti.hu,madsrdf:hasMADSCollectionMember,740,LOC
http://id.loc.gov/vocabulary/languages,data.hnm.hu,madsrdf:authoritativeLabel,980,LOC
http://id.loc.gov/vocabulary/geographicAreas,data.szepmuveszeti.hu,rdfs:comment,4,LOC
http://id.loc.gov/vocabulary/geographicAreas,data.szepmuveszeti.hu,madsrdf:deprecatedLabel,34,LOC
http://id.loc.gov/authorities,202.45.139.84:10035,skos:closeMatch,14,LOC
http://id.loc.gov/vocabulary/languages,aliada.scanbit.net:8891,madsrdf:useFor,2038,LOC
http://id.loc.gov/vocabulary/countries,data.hnm.hu,madsrdf:useInstead,134,LOC
http://id.loc.gov/vocabulary/countries,data.szepmuveszeti.hu,madsrdf:adminMetadata,928,LOC
http://id.loc.gov/vocabulary/geographicAreas,aliada.scanbit.net:8891,madsrdf:isTopMemberOfMADSScheme,252,LOC
http://id.loc.gov/ontologies/RecordInfo,aliada.scanbit.net:8891,rdf:type,2040,LOC
http://id.loc.gov/vocabulary/countries,aliada.scanbit.net:8891,madsrdf:useFor,140,LOC
http://id.loc.gov/vocabulary/geographicAreas,aliada.scanbit.net:8891,madsrdf:historyNote,54,LOC
http://id.loc.gov/authorities,data.szepmuveszeti.hu,skos:closeMatch,11100,LOC
http://id.loc.gov/vocabulary/countries,data.hnm.hu,madsrdf:hasVariant,537,LOC
http://id.loc.gov/vocabulary/languages,data.hnm.hu,madsrdf:historyNote,4,LOC
